timestamp_ms,vm_id,cpu_cores,mem_gb,duration_steps
80000,vm_10080,2.0,4.0,65
81000,vm_10081,8.0,16.0,124
82000,vm_10082,4.0,8.0,185
83000,vm_10083,2.0,4.0,175
84000,vm_10084,2.0,4.0,167
85000,vm_10085,2.0,4.0,107
86000,vm_10086,4.0,8.0,89
87000,vm_10087,2.0,4.0,31
88000,vm_10088,2.0,4.0,42
89000,vm_10089,4.0,8.0,133
90000,vm_10090,2.0,4.0,90
91000,vm_10091,2.0,4.0,90
92000,vm_10092,2.0,4.0,109
93000,vm_10093,2.0,4.0,123
94000,vm_10094,4.0,8.0,67
95000,vm_10095,8.0,16.0,160
96000,vm_10096,2.0,4.0,139
97000,vm_10097,2.0,4.0,135
98000,vm_10098,4.0,8.0,77
99000,vm_10099,4.0,8.0,92
100000,vm_10100,2.0,4.0,44
101000,vm_10101,2.0,4.0,187
102000,vm_10102,16.0,32.0,114
103000,vm_10103,8.0,16.0,61
104000,vm_10104,2.0,4.0,200
105000,vm_10105,4.0,8.0,129
106000,vm_10106,2.0,4.0,148
107000,vm_10107,8.0,16.0,163
108000,vm_10108,8.0,16.0,45
109000,vm_10109,4.0,8.0,98
110000,vm_10110,2.0,4.0,153
111000,vm_10111,2.0,4.0,92
112000,vm_10112,4.0,8.0,106
113000,vm_10113,4.0,8.0,152
114000,vm_10114,2.0,4.0,52
115000,vm_10115,8.0,16.0,53
116000,vm_10116,2.0,4.0,172
117000,vm_10117,8.0,16.0,193
118000,vm_10118,4.0,8.0,102
119000,vm_10119,2.0,4.0,97
120000,vm_10120,2.0,4.0,162
121000,vm_10121,4.0,8.0,120
122000,vm_10122,4.0,8.0,52
123000,vm_10123,4.0,8.0,58
124000,vm_10124,8.0,16.0,152
125000,vm_10125,2.0,4.0,126
126000,vm_10126,8.0,16.0,73
127000,vm_10127,4.0,8.0,115
128000,vm_10128,2.0,4.0,111
129000,vm_10129,2.0,4.0,181
130000,vm_10130,2.0,4.0,140
131000,vm_10131,2.0,4.0,174
132000,vm_10132,8.0,16.0,178
133000,vm_10133,8.0,16.0,178
134000,vm_10134,8.0,16.0,98
135000,vm_10135,2.0,4.0,125
136000,vm_10136,2.0,4.0,53
137000,vm_10137,8.0,16.0,69
138000,vm_10138,8.0,16.0,156
139000,vm_10139,2.0,4.0,76
140000,vm_10140,4.0,8.0,122
141000,vm_10141,2.0,4.0,55
142000,vm_10142,8.0,16.0,188
143000,vm_10143,2.0,4.0,186
144000,vm_10144,4.0,8.0,135
145000,vm_10145,2.0,4.0,44
146000,vm_10146,2.0,4.0,193
147000,vm_10147,2.0,4.0,49
148000,vm_10148,2.0,4.0,175
149000,vm_10149,4.0,8.0,57
150000,vm_10150,2.0,4.0,190
151000,vm_10151,2.0,4.0,121
152000,vm_10152,2.0,4.0,133
153000,vm_10153,2.0,4.0,61
154000,vm_10154,4.0,8.0,129
155000,vm_10155,8.0,16.0,157
156000,vm_10156,4.0,8.0,185
157000,vm_10157,8.0,16.0,146
158000,vm_10158,2.0,4.0,50
159000,vm_10159,4.0,8.0,81
160000,vm_10160,2.0,4.0,115
161000,vm_10161,4.0,8.0,84
162000,vm_10162,8.0,16.0,87
163000,vm_10163,2.0,4.0,129
164000,vm_10164,4.0,8.0,58
165000,vm_10165,8.0,16.0,39
166000,vm_10166,16.0,32.0,198
167000,vm_10167,2.0,4.0,82
168000,vm_10168,8.0,16.0,198
169000,vm_10169,4.0,8.0,194
170000,vm_10170,2.0,4.0,53
171000,vm_10171,4.0,8.0,39
172000,vm_10172,4.0,8.0,71
173000,vm_10173,2.0,4.0,117
174000,vm_10174,2.0,4.0,141
175000,vm_10175,2.0,4.0,66
176000,vm_10176,2.0,4.0,56
177000,vm_10177,8.0,16.0,78
178000,vm_10178,2.0,4.0,32
179000,vm_10179,2.0,4.0,135
180000,vm_10180,4.0,8.0,88
181000,vm_10181,2.0,4.0,157
182000,vm_10182,2.0,4.0,50
183000,vm_10183,4.0,8.0,116
184000,vm_10184,8.0,16.0,63
185000,vm_10185,2.0,4.0,57
186000,vm_10186,2.0,4.0,135
187000,vm_10187,4.0,8.0,70
188000,vm_10188,4.0,8.0,183
189000,vm_10189,4.0,8.0,58
190000,vm_10190,2.0,4.0,74
191000,vm_10191,4.0,8.0,45
192000,vm_10192,4.0,8.0,151
193000,vm_10193,4.0,8.0,109
194000,vm_10194,4.0,8.0,47
195000,vm_10195,4.0,8.0,178
196000,vm_10196,4.0,8.0,198
197000,vm_10197,2.0,4.0,48
198000,vm_10198,2.0,4.0,121
199000,vm_10199,2.0,4.0,84
200000,vm_10200,2.0,4.0,106
201000,vm_10201,2.0,4.0,86
202000,vm_10202,4.0,8.0,33
203000,vm_10203,8.0,16.0,30
204000,vm_10204,2.0,4.0,34
205000,vm_10205,2.0,4.0,158
206000,vm_10206,2.0,4.0,113
207000,vm_10207,2.0,4.0,95
208000,vm_10208,2.0,4.0,197
209000,vm_10209,4.0,8.0,54
210000,vm_10210,2.0,4.0,84
211000,vm_10211,2.0,4.0,121
212000,vm_10212,2.0,4.0,169
213000,vm_10213,2.0,4.0,142
214000,vm_10214,8.0,16.0,40
215000,vm_10215,16.0,32.0,36
216000,vm_10216,4.0,8.0,167
217000,vm_10217,2.0,4.0,190
218000,vm_10218,8.0,16.0,93
219000,vm_10219,4.0,8.0,177
220000,vm_10220,8.0,16.0,98
221000,vm_10221,4.0,8.0,103
222000,vm_10222,4.0,8.0,128
223000,vm_10223,2.0,4.0,41
224000,vm_10224,8.0,16.0,121
225000,vm_10225,2.0,4.0,98
226000,vm_10226,2.0,4.0,178
227000,vm_10227,2.0,4.0,94
228000,vm_10228,2.0,4.0,109
229000,vm_10229,4.0,8.0,37
230000,vm_10230,2.0,4.0,108
231000,vm_10231,4.0,8.0,34
232000,vm_10232,4.0,8.0,54
233000,vm_10233,2.0,4.0,189
234000,vm_10234,2.0,4.0,186
235000,vm_10235,4.0,8.0,69
236000,vm_10236,2.0,4.0,64
237000,vm_10237,16.0,32.0,37
238000,vm_10238,4.0,8.0,159
239000,vm_10239,2.0,4.0,112
240000,vm_10240,2.0,4.0,66
241000,vm_10241,2.0,4.0,133
242000,vm_10242,8.0,16.0,154
243000,vm_10243,2.0,4.0,51
244000,vm_10244,4.0,8.0,166
245000,vm_10245,2.0,4.0,30
246000,vm_10246,16.0,32.0,101
247000,vm_10247,8.0,16.0,106
248000,vm_10248,4.0,8.0,46
249000,vm_10249,4.0,8.0,183
250000,vm_10250,2.0,4.0,124
251000,vm_10251,2.0,4.0,119
252000,vm_10252,4.0,8.0,65
253000,vm_10253,2.0,4.0,69
254000,vm_10254,8.0,16.0,96
255000,vm_10255,8.0,16.0,158
256000,vm_10256,2.0,4.0,119
257000,vm_10257,2.0,4.0,81
258000,vm_10258,8.0,16.0,89
259000,vm_10259,2.0,4.0,153
260000,vm_10260,4.0,8.0,161
261000,vm_10261,8.0,16.0,107
262000,vm_10262,2.0,4.0,198
263000,vm_10263,2.0,4.0,157
264000,vm_10264,2.0,4.0,74
265000,vm_10265,16.0,32.0,31
266000,vm_10266,4.0,8.0,159
267000,vm_10267,2.0,4.0,47
268000,vm_10268,8.0,16.0,179
269000,vm_10269,2.0,4.0,139
270000,vm_10270,2.0,4.0,34
271000,vm_10271,8.0,16.0,193
272000,vm_10272,16.0,32.0,79
273000,vm_10273,2.0,4.0,131
274000,vm_10274,16.0,32.0,58
275000,vm_10275,4.0,8.0,76
276000,vm_10276,8.0,16.0,106
277000,vm_10277,2.0,4.0,115
278000,vm_10278,4.0,8.0,124
279000,vm_10279,2.0,4.0,61
280000,vm_10280,8.0,16.0,37
281000,vm_10281,2.0,4.0,190
282000,vm_10282,2.0,4.0,47
283000,vm_10283,4.0,8.0,155
284000,vm_10284,2.0,4.0,189
285000,vm_10285,2.0,4.0,177
286000,vm_10286,2.0,4.0,93
287000,vm_10287,4.0,8.0,60
288000,vm_10288,8.0,16.0,113
289000,vm_10289,2.0,4.0,130
290000,vm_10290,8.0,16.0,109
291000,vm_10291,4.0,8.0,166
292000,vm_10292,4.0,8.0,32
293000,vm_10293,2.0,4.0,141
294000,vm_10294,2.0,4.0,68
295000,vm_10295,4.0,8.0,190
296000,vm_10296,2.0,4.0,77
297000,vm_10297,2.0,4.0,71
298000,vm_10298,8.0,16.0,156
299000,vm_10299,2.0,4.0,41
300000,vm_10300,4.0,8.0,155
301000,vm_10301,8.0,16.0,143
302000,vm_10302,8.0,16.0,41
303000,vm_10303,4.0,8.0,98
304000,vm_10304,4.0,8.0,200
305000,vm_10305,4.0,8.0,32
306000,vm_10306,8.0,16.0,168
307000,vm_10307,2.0,4.0,112
308000,vm_10308,8.0,16.0,53
309000,vm_10309,2.0,4.0,187
310000,vm_10310,2.0,4.0,186
311000,vm_10311,2.0,4.0,167
312000,vm_10312,2.0,4.0,123
313000,vm_10313,2.0,4.0,101
314000,vm_10314,4.0,8.0,76
315000,vm_10315,4.0,8.0,40
316000,vm_10316,4.0,8.0,187
317000,vm_10317,2.0,4.0,183
318000,vm_10318,8.0,16.0,148
319000,vm_10319,2.0,4.0,58
320000,vm_10320,4.0,8.0,197
321000,vm_10321,8.0,16.0,120
322000,vm_10322,4.0,8.0,58
323000,vm_10323,8.0,16.0,143
324000,vm_10324,8.0,16.0,58
325000,vm_10325,2.0,4.0,100
326000,vm_10326,8.0,16.0,123
327000,vm_10327,2.0,4.0,62
328000,vm_10328,2.0,4.0,194
329000,vm_10329,2.0,4.0,151
330000,vm_10330,4.0,8.0,34
331000,vm_10331,2.0,4.0,84
332000,vm_10332,2.0,4.0,161
333000,vm_10333,4.0,8.0,188
334000,vm_10334,4.0,8.0,53
335000,vm_10335,2.0,4.0,43
336000,vm_10336,2.0,4.0,199
337000,vm_10337,2.0,4.0,179
338000,vm_10338,8.0,16.0,193
339000,vm_10339,4.0,8.0,170
340000,vm_10340,2.0,4.0,94
341000,vm_10341,4.0,8.0,121
342000,vm_10342,4.0,8.0,123
343000,vm_10343,2.0,4.0,41
344000,vm_10344,4.0,8.0,139
345000,vm_10345,8.0,16.0,72
346000,vm_10346,2.0,4.0,111
347000,vm_10347,2.0,4.0,40
348000,vm_10348,8.0,16.0,70
349000,vm_10349,2.0,4.0,80
350000,vm_10350,8.0,16.0,101
351000,vm_10351,4.0,8.0,175
352000,vm_10352,2.0,4.0,133
353000,vm_10353,4.0,8.0,124
354000,vm_10354,4.0,8.0,139
355000,vm_10355,8.0,16.0,149
356000,vm_10356,2.0,4.0,48
357000,vm_10357,2.0,4.0,51
358000,vm_10358,2.0,4.0,106
359000,vm_10359,2.0,4.0,180
360000,vm_10360,2.0,4.0,63
361000,vm_10361,2.0,4.0,166
362000,vm_10362,8.0,16.0,48
363000,vm_10363,4.0,8.0,44
364000,vm_10364,2.0,4.0,77
365000,vm_10365,4.0,8.0,152
366000,vm_10366,2.0,4.0,140
367000,vm_10367,2.0,4.0,137
368000,vm_10368,4.0,8.0,158
369000,vm_10369,4.0,8.0,142
370000,vm_10370,2.0,4.0,165
371000,vm_10371,2.0,4.0,176
372000,vm_10372,4.0,8.0,160
373000,vm_10373,2.0,4.0,112
374000,vm_10374,2.0,4.0,121
375000,vm_10375,2.0,4.0,59
376000,vm_10376,2.0,4.0,34
377000,vm_10377,2.0,4.0,78
378000,vm_10378,2.0,4.0,43
379000,vm_10379,16.0,32.0,97
380000,vm_10380,2.0,4.0,100
381000,vm_10381,2.0,4.0,132
382000,vm_10382,2.0,4.0,136
383000,vm_10383,4.0,8.0,119
384000,vm_10384,4.0,8.0,47
385000,vm_10385,2.0,4.0,41
386000,vm_10386,4.0,8.0,169
387000,vm_10387,4.0,8.0,152
388000,vm_10388,8.0,16.0,144
389000,vm_10389,4.0,8.0,51
390000,vm_10390,2.0,4.0,175
391000,vm_10391,2.0,4.0,171
392000,vm_10392,4.0,8.0,66
393000,vm_10393,2.0,4.0,88
394000,vm_10394,2.0,4.0,86
395000,vm_10395,2.0,4.0,166
396000,vm_10396,2.0,4.0,148
397000,vm_10397,2.0,4.0,31
398000,vm_10398,4.0,8.0,60
399000,vm_10399,4.0,8.0,171
400000,vm_10400,4.0,8.0,120
401000,vm_10401,2.0,4.0,115
402000,vm_10402,2.0,4.0,189
403000,vm_10403,2.0,4.0,153
404000,vm_10404,2.0,4.0,109
405000,vm_10405,8.0,16.0,179
406000,vm_10406,8.0,16.0,88
407000,vm_10407,8.0,16.0,107
408000,vm_10408,2.0,4.0,164
409000,vm_10409,8.0,16.0,81
410000,vm_10410,4.0,8.0,140
411000,vm_10411,2.0,4.0,64
412000,vm_10412,2.0,4.0,168
413000,vm_10413,2.0,4.0,30
414000,vm_10414,8.0,16.0,54
415000,vm_10415,2.0,4.0,86
416000,vm_10416,2.0,4.0,172
417000,vm_10417,4.0,8.0,162
418000,vm_10418,2.0,4.0,77
419000,vm_10419,8.0,16.0,47
420000,vm_10420,4.0,8.0,61
421000,vm_10421,4.0,8.0,30
422000,vm_10422,4.0,8.0,85
423000,vm_10423,4.0,8.0,191
424000,vm_10424,4.0,8.0,97
425000,vm_10425,8.0,16.0,132
426000,vm_10426,2.0,4.0,137
427000,vm_10427,4.0,8.0,56
428000,vm_10428,8.0,16.0,174
429000,vm_10429,4.0,8.0,105
430000,vm_10430,4.0,8.0,100
431000,vm_10431,4.0,8.0,59
432000,vm_10432,8.0,16.0,126
433000,vm_10433,8.0,16.0,195
434000,vm_10434,16.0,32.0,192
435000,vm_10435,2.0,4.0,82
436000,vm_10436,4.0,8.0,86
437000,vm_10437,4.0,8.0,75
438000,vm_10438,4.0,8.0,137
439000,vm_10439,4.0,8.0,77
440000,vm_10440,4.0,8.0,38
441000,vm_10441,8.0,16.0,65
442000,vm_10442,4.0,8.0,167
443000,vm_10443,2.0,4.0,94
444000,vm_10444,2.0,4.0,158
445000,vm_10445,2.0,4.0,94
446000,vm_10446,2.0,4.0,149
447000,vm_10447,4.0,8.0,166
448000,vm_10448,2.0,4.0,70
449000,vm_10449,4.0,8.0,33
450000,vm_10450,2.0,4.0,41
451000,vm_10451,2.0,4.0,154
452000,vm_10452,4.0,8.0,53
453000,vm_10453,4.0,8.0,131
454000,vm_10454,4.0,8.0,30
455000,vm_10455,2.0,4.0,88
456000,vm_10456,16.0,32.0,166
457000,vm_10457,8.0,16.0,165
458000,vm_10458,2.0,4.0,148
459000,vm_10459,4.0,8.0,154
460000,vm_10460,2.0,4.0,159
461000,vm_10461,2.0,4.0,142
462000,vm_10462,8.0,16.0,31
463000,vm_10463,2.0,4.0,34
464000,vm_10464,4.0,8.0,43
465000,vm_10465,2.0,4.0,116
466000,vm_10466,4.0,8.0,186
467000,vm_10467,2.0,4.0,76
468000,vm_10468,2.0,4.0,39
469000,vm_10469,4.0,8.0,195
470000,vm_10470,2.0,4.0,82
471000,vm_10471,2.0,4.0,41
472000,vm_10472,8.0,16.0,177
473000,vm_10473,2.0,4.0,40
474000,vm_10474,2.0,4.0,124
475000,vm_10475,4.0,8.0,112
476000,vm_10476,2.0,4.0,200
477000,vm_10477,4.0,8.0,87
478000,vm_10478,2.0,4.0,90
479000,vm_10479,4.0,8.0,160
480000,vm_10480,4.0,8.0,174
481000,vm_10481,4.0,8.0,89
482000,vm_10482,8.0,16.0,32
483000,vm_10483,8.0,16.0,60
484000,vm_10484,4.0,8.0,165
485000,vm_10485,2.0,4.0,166
486000,vm_10486,4.0,8.0,84
487000,vm_10487,16.0,32.0,73
488000,vm_10488,2.0,4.0,170
489000,vm_10489,4.0,8.0,132
490000,vm_10490,4.0,8.0,89
491000,vm_10491,8.0,16.0,43
492000,vm_10492,4.0,8.0,95
493000,vm_10493,2.0,4.0,81
494000,vm_10494,2.0,4.0,81
495000,vm_10495,2.0,4.0,46
496000,vm_10496,8.0,16.0,133
497000,vm_10497,2.0,4.0,33
498000,vm_10498,8.0,16.0,175
499000,vm_10499,16.0,32.0,176
500000,vm_10500,4.0,8.0,184
501000,vm_10501,16.0,32.0,189
502000,vm_10502,8.0,16.0,121
503000,vm_10503,2.0,4.0,147
504000,vm_10504,2.0,4.0,42
505000,vm_10505,2.0,4.0,52
506000,vm_10506,2.0,4.0,31
507000,vm_10507,2.0,4.0,83
508000,vm_10508,2.0,4.0,179
509000,vm_10509,4.0,8.0,40
510000,vm_10510,2.0,4.0,84
511000,vm_10511,2.0,4.0,193
512000,vm_10512,2.0,4.0,61
513000,vm_10513,2.0,4.0,154
514000,vm_10514,8.0,16.0,126
515000,vm_10515,4.0,8.0,36
516000,vm_10516,2.0,4.0,191
517000,vm_10517,2.0,4.0,189
518000,vm_10518,2.0,4.0,147
519000,vm_10519,2.0,4.0,196
520000,vm_10520,16.0,32.0,84
521000,vm_10521,2.0,4.0,75
522000,vm_10522,2.0,4.0,159
523000,vm_10523,2.0,4.0,172
524000,vm_10524,2.0,4.0,38
525000,vm_10525,16.0,32.0,55
526000,vm_10526,16.0,32.0,46
527000,vm_10527,2.0,4.0,64
528000,vm_10528,4.0,8.0,112
529000,vm_10529,2.0,4.0,179
530000,vm_10530,2.0,4.0,50
531000,vm_10531,2.0,4.0,121
532000,vm_10532,4.0,8.0,109
533000,vm_10533,4.0,8.0,168
534000,vm_10534,8.0,16.0,134
535000,vm_10535,2.0,4.0,72
536000,vm_10536,2.0,4.0,106
537000,vm_10537,8.0,16.0,104
538000,vm_10538,2.0,4.0,137
539000,vm_10539,4.0,8.0,136
540000,vm_10540,2.0,4.0,176
541000,vm_10541,4.0,8.0,40
542000,vm_10542,2.0,4.0,81
543000,vm_10543,2.0,4.0,115
544000,vm_10544,2.0,4.0,196
545000,vm_10545,4.0,8.0,103
546000,vm_10546,2.0,4.0,51
547000,vm_10547,8.0,16.0,74
548000,vm_10548,4.0,8.0,56
549000,vm_10549,2.0,4.0,193
550000,vm_10550,2.0,4.0,46
551000,vm_10551,4.0,8.0,123
552000,vm_10552,2.0,4.0,42
553000,vm_10553,8.0,16.0,122
554000,vm_10554,4.0,8.0,46
555000,vm_10555,2.0,4.0,159
556000,vm_10556,8.0,16.0,96
557000,vm_10557,4.0,8.0,91
558000,vm_10558,8.0,16.0,110
559000,vm_10559,4.0,8.0,164
560000,vm_10560,2.0,4.0,162
561000,vm_10561,4.0,8.0,140
562000,vm_10562,4.0,8.0,94
563000,vm_10563,2.0,4.0,169
564000,vm_10564,4.0,8.0,122
565000,vm_10565,2.0,4.0,72
566000,vm_10566,2.0,4.0,199
567000,vm_10567,2.0,4.0,110
568000,vm_10568,4.0,8.0,112
569000,vm_10569,8.0,16.0,131
570000,vm_10570,4.0,8.0,105
571000,vm_10571,4.0,8.0,79
572000,vm_10572,4.0,8.0,147
573000,vm_10573,8.0,16.0,154
574000,vm_10574,2.0,4.0,85
575000,vm_10575,2.0,4.0,121
576000,vm_10576,2.0,4.0,75
577000,vm_10577,8.0,16.0,144
578000,vm_10578,2.0,4.0,55
579000,vm_10579,2.0,4.0,46
580000,vm_10580,4.0,8.0,96
581000,vm_10581,4.0,8.0,56
582000,vm_10582,8.0,16.0,80
583000,vm_10583,2.0,4.0,98
584000,vm_10584,4.0,8.0,109
585000,vm_10585,2.0,4.0,188
586000,vm_10586,8.0,16.0,41
587000,vm_10587,4.0,8.0,31
588000,vm_10588,4.0,8.0,146
589000,vm_10589,2.0,4.0,162
590000,vm_10590,2.0,4.0,127
591000,vm_10591,4.0,8.0,77
592000,vm_10592,4.0,8.0,71
593000,vm_10593,2.0,4.0,143
594000,vm_10594,8.0,16.0,85
595000,vm_10595,2.0,4.0,120
596000,vm_10596,8.0,16.0,46
597000,vm_10597,2.0,4.0,122
598000,vm_10598,8.0,16.0,169
599000,vm_10599,2.0,4.0,82
600000,vm_10600,4.0,8.0,82
601000,vm_10601,8.0,16.0,141
602000,vm_10602,2.0,4.0,60
603000,vm_10603,2.0,4.0,88
604000,vm_10604,2.0,4.0,175
605000,vm_10605,4.0,8.0,120
606000,vm_10606,4.0,8.0,116
607000,vm_10607,8.0,16.0,76
608000,vm_10608,2.0,4.0,48
609000,vm_10609,4.0,8.0,160
610000,vm_10610,4.0,8.0,103
611000,vm_10611,8.0,16.0,184
612000,vm_10612,2.0,4.0,188
613000,vm_10613,2.0,4.0,164
614000,vm_10614,2.0,4.0,166
615000,vm_10615,2.0,4.0,69
616000,vm_10616,16.0,32.0,159
617000,vm_10617,2.0,4.0,103
618000,vm_10618,4.0,8.0,121
619000,vm_10619,4.0,8.0,115
620000,vm_10620,4.0,8.0,60
621000,vm_10621,2.0,4.0,168
622000,vm_10622,4.0,8.0,196
623000,vm_10623,8.0,16.0,35
624000,vm_10624,4.0,8.0,85
625000,vm_10625,2.0,4.0,128
626000,vm_10626,8.0,16.0,113
627000,vm_10627,16.0,32.0,124
628000,vm_10628,4.0,8.0,160
629000,vm_10629,4.0,8.0,137
630000,vm_10630,2.0,4.0,106
631000,vm_10631,8.0,16.0,183
632000,vm_10632,4.0,8.0,87
633000,vm_10633,2.0,4.0,135
634000,vm_10634,4.0,8.0,146
635000,vm_10635,2.0,4.0,175
636000,vm_10636,2.0,4.0,108
637000,vm_10637,2.0,4.0,42
638000,vm_10638,4.0,8.0,122
639000,vm_10639,4.0,8.0,165
640000,vm_10640,4.0,8.0,50
641000,vm_10641,4.0,8.0,190
642000,vm_10642,4.0,8.0,76
643000,vm_10643,2.0,4.0,188
644000,vm_10644,2.0,4.0,168
645000,vm_10645,2.0,4.0,148
646000,vm_10646,2.0,4.0,85
647000,vm_10647,2.0,4.0,163
648000,vm_10648,16.0,32.0,120
649000,vm_10649,4.0,8.0,105
650000,vm_10650,2.0,4.0,104
651000,vm_10651,2.0,4.0,103
652000,vm_10652,2.0,4.0,165
653000,vm_10653,2.0,4.0,129
654000,vm_10654,4.0,8.0,81
655000,vm_10655,2.0,4.0,152
656000,vm_10656,2.0,4.0,146
657000,vm_10657,2.0,4.0,125
658000,vm_10658,2.0,4.0,122
659000,vm_10659,4.0,8.0,139
660000,vm_10660,8.0,16.0,172
661000,vm_10661,4.0,8.0,38
662000,vm_10662,4.0,8.0,48
663000,vm_10663,8.0,16.0,153
664000,vm_10664,8.0,16.0,164
665000,vm_10665,2.0,4.0,105
666000,vm_10666,8.0,16.0,94
667000,vm_10667,4.0,8.0,63
668000,vm_10668,2.0,4.0,146
669000,vm_10669,4.0,8.0,197
670000,vm_10670,2.0,4.0,178
671000,vm_10671,8.0,16.0,168
672000,vm_10672,2.0,4.0,86
673000,vm_10673,2.0,4.0,200
674000,vm_10674,2.0,4.0,185
675000,vm_10675,4.0,8.0,197
676000,vm_10676,4.0,8.0,189
677000,vm_10677,4.0,8.0,87
678000,vm_10678,2.0,4.0,45
679000,vm_10679,8.0,16.0,195
680000,vm_10680,2.0,4.0,36
681000,vm_10681,4.0,8.0,169
682000,vm_10682,4.0,8.0,33
683000,vm_10683,2.0,4.0,66
684000,vm_10684,2.0,4.0,182
685000,vm_10685,8.0,16.0,48
686000,vm_10686,4.0,8.0,123
687000,vm_10687,2.0,4.0,91
688000,vm_10688,2.0,4.0,96
689000,vm_10689,4.0,8.0,53
690000,vm_10690,2.0,4.0,46
691000,vm_10691,4.0,8.0,51
692000,vm_10692,2.0,4.0,40
693000,vm_10693,4.0,8.0,155
694000,vm_10694,16.0,32.0,62
695000,vm_10695,2.0,4.0,107
696000,vm_10696,2.0,4.0,36
697000,vm_10697,4.0,8.0,150
698000,vm_10698,4.0,8.0,97
699000,vm_10699,8.0,16.0,82
700000,vm_10700,16.0,32.0,146
701000,vm_10701,2.0,4.0,70
702000,vm_10702,4.0,8.0,60
703000,vm_10703,4.0,8.0,193
704000,vm_10704,2.0,4.0,184
705000,vm_10705,2.0,4.0,74
706000,vm_10706,2.0,4.0,105
707000,vm_10707,4.0,8.0,130
708000,vm_10708,4.0,8.0,99
709000,vm_10709,8.0,16.0,100
710000,vm_10710,4.0,8.0,89
711000,vm_10711,4.0,8.0,54
712000,vm_10712,2.0,4.0,114
713000,vm_10713,2.0,4.0,154
714000,vm_10714,4.0,8.0,62
715000,vm_10715,4.0,8.0,36
716000,vm_10716,8.0,16.0,192
717000,vm_10717,4.0,8.0,98
718000,vm_10718,8.0,16.0,97
719000,vm_10719,2.0,4.0,56
720000,vm_10720,16.0,32.0,129
721000,vm_10721,4.0,8.0,181
722000,vm_10722,2.0,4.0,135
723000,vm_10723,2.0,4.0,120
724000,vm_10724,4.0,8.0,30
725000,vm_10725,4.0,8.0,147
726000,vm_10726,2.0,4.0,96
727000,vm_10727,4.0,8.0,42
728000,vm_10728,2.0,4.0,87
729000,vm_10729,4.0,8.0,50
730000,vm_10730,2.0,4.0,147
731000,vm_10731,4.0,8.0,172
732000,vm_10732,2.0,4.0,180
